start_time,request_type,latency,response_code
2021-10-10 00:45:18.756,POST,70,201
2021-10-10 00:45:18.826,POST,74,201
2021-10-10 00:45:18.9,POST,70,201
2021-10-10 00:45:18.97,POST,71,201
2021-10-10 00:45:19.041,POST,71,201
2021-10-10 00:45:19.112,POST,71,201
2021-10-10 00:45:19.183,POST,71,201
2021-10-10 00:45:19.254,POST,70,201
2021-10-10 00:45:19.324,POST,70,201
2021-10-10 00:45:19.395,POST,71,201
2021-10-10 00:45:19.466,POST,71,201
2021-10-10 00:45:19.537,POST,70,201
2021-10-10 00:45:19.607,POST,70,201
2021-10-10 00:45:19.677,POST,70,201
2021-10-10 00:45:19.747,POST,71,201
2021-10-10 00:45:19.818,POST,70,201
2021-10-10 00:45:19.888,POST,71,201
2021-10-10 00:45:19.959,POST,70,201
2021-10-10 00:45:20.029,POST,75,201
2021-10-10 00:45:20.104,POST,70,201
2021-10-10 00:45:20.174,POST,70,201
2021-10-10 00:45:20.244,POST,71,201
2021-10-10 00:45:20.315,POST,72,201
2021-10-10 00:45:20.387,POST,70,201
2021-10-10 00:45:20.457,POST,71,201
2021-10-10 00:45:20.528,POST,71,201
2021-10-10 00:45:20.599,POST,70,201
2021-10-10 00:45:20.669,POST,71,201
2021-10-10 00:45:20.74,POST,70,201
2021-10-10 00:45:20.81,POST,71,201
2021-10-10 00:45:20.881,POST,71,201
2021-10-10 00:45:20.952,POST,72,201
2021-10-10 00:45:21.024,POST,71,201
2021-10-10 00:45:21.096,POST,70,201
2021-10-10 00:45:21.166,POST,71,201
2021-10-10 00:45:21.237,POST,71,201
2021-10-10 00:45:21.308,POST,70,201
2021-10-10 00:45:21.378,POST,70,201
2021-10-10 00:45:21.448,POST,71,201
2021-10-10 00:45:21.519,POST,70,201
2021-10-10 00:45:21.589,POST,70,201
2021-10-10 00:45:21.659,POST,76,201
2021-10-10 00:45:21.735,POST,71,201
2021-10-10 00:45:21.806,POST,70,201
2021-10-10 00:45:21.877,POST,72,201
2021-10-10 00:45:21.95,POST,70,201
2021-10-10 00:45:22.02,POST,70,201
2021-10-10 00:45:22.09,POST,71,201
2021-10-10 00:45:22.161,POST,69,201
2021-10-10 00:45:22.23,POST,70,201
2021-10-10 00:45:22.3,POST,70,201
2021-10-10 00:45:22.37,POST,71,201
2021-10-10 00:45:22.441,POST,70,201
2021-10-10 00:45:22.511,POST,72,201
2021-10-10 00:45:22.583,POST,71,201
2021-10-10 00:45:22.654,POST,72,201
2021-10-10 00:45:22.726,POST,74,201
2021-10-10 00:45:22.8,POST,71,201
2021-10-10 00:45:22.871,POST,70,201
2021-10-10 00:45:22.941,POST,70,201
2021-10-10 00:45:23.011,POST,70,201
2021-10-10 00:45:23.081,POST,71,201
2021-10-10 00:45:23.152,POST,71,201
2021-10-10 00:45:23.223,POST,70,201
2021-10-10 00:45:23.293,POST,71,201
2021-10-10 00:45:23.364,POST,72,201
2021-10-10 00:45:23.436,POST,146,201
2021-10-10 00:45:23.582,POST,71,201
2021-10-10 00:45:23.653,POST,72,201
2021-10-10 00:45:23.725,POST,71,201
2021-10-10 00:45:23.796,POST,70,201
2021-10-10 00:45:23.866,POST,70,201
2021-10-10 00:45:23.936,POST,69,201
2021-10-10 00:45:24.005,POST,70,201
2021-10-10 00:45:24.075,POST,70,201
2021-10-10 00:45:24.145,POST,69,201
2021-10-10 00:45:24.214,POST,75,201
2021-10-10 00:45:24.29,POST,72,201
2021-10-10 00:45:24.362,POST,70,201
2021-10-10 00:45:24.432,POST,70,201
2021-10-10 00:45:24.502,POST,71,201
2021-10-10 00:45:24.573,POST,70,201
2021-10-10 00:45:24.643,POST,71,201
2021-10-10 00:45:24.714,POST,70,201
2021-10-10 00:45:24.784,POST,70,201
2021-10-10 00:45:24.854,POST,70,201
2021-10-10 00:45:24.925,POST,70,201
2021-10-10 00:45:24.995,POST,70,201
2021-10-10 00:45:25.065,POST,70,201
2021-10-10 00:45:25.135,POST,70,201
2021-10-10 00:45:25.205,POST,72,201
2021-10-10 00:45:16.189,POST,174,201
2021-10-10 00:45:16.394,POST,73,201
2021-10-10 00:45:16.467,POST,79,201
2021-10-10 00:45:16.546,POST,71,201
2021-10-10 00:45:16.617,POST,72,201
2021-10-10 00:45:16.689,POST,73,201
2021-10-10 00:45:16.762,POST,71,201
